InstanceType,AZ
m5ad.12xlarge,us-west-2b
m5ad.12xlarge,us-west-2d
t3.2xlarge,us-west-2b
t3.2xlarge,us-west-2a
t3.2xlarge,us-west-2d
t3.2xlarge,us-west-2c
m5d.16xlarge,us-west-2c
m5d.16xlarge,us-west-2a
m5d.16xlarge,us-west-2d
m5d.16xlarge,us-west-2b
m5dn.large,us-west-2a
m5dn.large,us-west-2c
m5dn.large,us-west-2b
m5d.xlarge,us-west-2a
m5d.xlarge,us-west-2d
m5d.xlarge,us-west-2c
m5d.xlarge,us-west-2b
m5ad.large,us-west-2a
m5ad.large,us-west-2b
m5ad.large,us-west-2d
m5ad.large,us-west-2c
r5ad.24xlarge,us-west-2b
r5ad.24xlarge,us-west-2c
r5ad.24xlarge,us-west-2a
r5ad.24xlarge,us-west-2d
a1.large,us-west-2c
a1.large,us-west-2b
a1.medium,us-west-2c
a1.medium,us-west-2b
r5.large,us-west-2d
r5.large,us-west-2c
r5.large,us-west-2a
r5.large,us-west-2b
d2.8xlarge,us-west-2b
d2.8xlarge,us-west-2d
d2.8xlarge,us-west-2a
d2.8xlarge,us-west-2c
c5.4xlarge,us-west-2b
c5.4xlarge,us-west-2a
c5.4xlarge,us-west-2c
c5.4xlarge,us-west-2d
i2.2xlarge,us-west-2b
i2.2xlarge,us-west-2a
i2.2xlarge,us-west-2c
c5n.4xlarge,us-west-2a
c5n.4xlarge,us-west-2b
c5n.4xlarge,us-west-2c
r5a.xlarge,us-west-2c
r5a.xlarge,us-west-2b
r5a.xlarge,us-west-2a
r5a.xlarge,us-west-2d
m5n.8xlarge,us-west-2c
m5n.8xlarge,us-west-2b
m5n.8xlarge,us-west-2a
r5ad.12xlarge,us-west-2b
r5ad.12xlarge,us-west-2d
r5ad.12xlarge,us-west-2a
r5ad.12xlarge,us-west-2c
r3.large,us-west-2b
r3.large,us-west-2a
r3.large,us-west-2c
m5.xlarge,us-west-2a
m5.xlarge,us-west-2b
m5.xlarge,us-west-2d
m5.xlarge,us-west-2c
i3en.3xlarge,us-west-2a
i3en.3xlarge,us-west-2c
i3en.3xlarge,us-west-2b
c5n.large,us-west-2c
c5n.large,us-west-2b
c5n.large,us-west-2a
r5ad.8xlarge,us-west-2d
f1.2xlarge,us-west-2a
f1.2xlarge,us-west-2b
f1.2xlarge,us-west-2c
c4.8xlarge,us-west-2c
c4.8xlarge,us-west-2b
c4.8xlarge,us-west-2a
c4.4xlarge,us-west-2b
c4.4xlarge,us-west-2a
c4.4xlarge,us-west-2c
r4.16xlarge,us-west-2a
r4.16xlarge,us-west-2b
r4.16xlarge,us-west-2c
c1.xlarge,us-west-2b
c1.xlarge,us-west-2a
c1.xlarge,us-west-2c
r5a.12xlarge,us-west-2b
r5a.12xlarge,us-west-2c
r5a.12xlarge,us-west-2a
r5a.12xlarge,us-west-2d
m5dn.8xlarge,us-west-2a
m5dn.8xlarge,us-west-2c
m5dn.8xlarge,us-west-2b
r5a.2xlarge,us-west-2a
r5a.2xlarge,us-west-2b
r5a.2xlarge,us-west-2d
r5a.2xlarge,us-west-2c
r5n.4xlarge,us-west-2b
r5n.4xlarge,us-west-2a
r5n.4xlarge,us-west-2c
m2.2xlarge,us-west-2c
m2.2xlarge,us-west-2b
m2.2xlarge,us-west-2a
d2.2xlarge,us-west-2d
d2.2xlarge,us-west-2a
d2.2xlarge,us-west-2c
d2.2xlarge,us-west-2b
m5ad.4xlarge,us-west-2c
m5ad.4xlarge,us-west-2b
m5ad.4xlarge,us-west-2d
m5ad.4xlarge,us-west-2a
m5.metal,us-west-2c
m5.metal,us-west-2b
m5.metal,us-west-2a
m5.metal,us-west-2d
m5d.metal,us-west-2a
m5d.metal,us-west-2b
m5d.metal,us-west-2d
m5d.metal,us-west-2c
m5.12xlarge,us-west-2a
m5.12xlarge,us-west-2c
m5.12xlarge,us-west-2b
m5.12xlarge,us-west-2d
g2.2xlarge,us-west-2c
g2.2xlarge,us-west-2b
g2.2xlarge,us-west-2a
c5n.9xlarge,us-west-2c
c5n.9xlarge,us-west-2b
c5n.9xlarge,us-west-2a
c1.medium,us-west-2c
c1.medium,us-west-2a
c1.medium,us-west-2b
t3a.medium,us-west-2d
t3a.medium,us-west-2a
t3a.medium,us-west-2b
t3a.medium,us-west-2c
